,customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score,faixa_etaria,classificacao,pct_desconto,flag_delay,freight_rate
23,24,34,Nordeste,119,50024,489.49,6,8.44,3,3,3,24.72,2,2,2,3.3,0,4,3.2,Adulto,Detrator,0.02,True,0.05050154242170422
24,25,22,Norte,20,50025,184.64,5,70.89,3,13,1,37.85,2,2,10,3.2,0,4,0.5,Jovem Adulto,Detrator,0.38,True,0.20499350086655116
25,26,67,Sudeste,79,50026,100.97,2,31.04,7,6,2,33.59,2,2,0,5.1,0,4,5.9,Idoso,Detrator,0.31,True,0.33267307120927014
26,27,21,Sudeste,26,50027,411.6,5,4.05,1,7,2,28.95,3,2,0,9.1,1,4,6.3,Jovem Adulto,Promotor,0.01,True,0.07033527696793003
27,28,20,Nordeste,101,50028,751.24,4,34.33,5,10,4,41.19,3,0,6,5.1,0,4,1.8,Jovem Adulto,Detrator,0.05,True,0.05482934880996752
28,29,38,Sudeste,119,50029,522.15,3,79.0,3,13,5,29.29,2,1,9,0.3,0,3,0.0,Adulto,Detrator,0.15,True,0.05609499186057646
29,30,57,Sudeste,86,50030,337.52,2,0.11,2,13,2,35.95,3,1,2,3.8,0,3,5.4,Adulto,Detrator,0.0,True,0.10651220668404837
30,31,20,Nordeste,39,50031,478.48,2,1.91,5,13,1,19.27,3,2,1,4.2,0,5,6.7,Jovem Adulto,Detrator,0.0,True,0.04027336565791673
31,32,38,Sul,71,50032,479.29,3,16.0,6,14,1,45.69,3,0,10,4.9,0,3,2.0,Adulto,Detrator,0.03,True,0.09532850674956705
32,33,65,Norte,57,50033,385.12,1,5.05,6,13,4,43.54,2,2,5,0.0,0,4,0.7,Idoso,,0.01,True,0.11305567095970087
33,34,66,Sul,41,50034,366.75,6,12.65,6,10,3,38.42,1,1,7,4.2,0,3,1.8,Idoso,Detrator,0.03,True,0.10475800954328562
34,35,25,Nordeste,16,50035,366.75,4,65.08,8,11,1,22.0,3,2,0,7.0,0,3,6.3,Jovem Adulto,Neutro,0.18,True,0.05998636673483299
35,36,59,Centro-Oeste,106,50036,348.26,4,4.9,6,14,1,31.64,1,2,1,6.8,0,3,5.7,Adulto,Neutro,0.01,True,0.09085166255096767
36,37,53,Norte,23,50037,557.8,4,0.31,9,8,5,44.25,1,3,10,0.0,0,5,0.0,Adulto,,0.0,True,0.07932950878451059
37,38,46,Centro-Oeste,3,50038,1120.9,4,57.57,5,13,2,40.75,2,4,0,4.9,0,6,4.0,Adulto,Detrator,0.05,True,0.03635471496119189
38,39,56,Sudeste,119,50039,448.04,3,21.23,8,11,1,28.03,3,2,8,4.4,0,5,1.8,Adulto,Detrator,0.05,True,0.06256137844835283
39,40,51,Norte,5,50040,109.66,6,5.88,6,14,1,33.27,3,0,11,4.2,0,3,1.4,Adulto,Detrator,0.05,True,0.3033923034834945
40,41,39,Centro-Oeste,73,50041,485.01,6,9.19,11,6,3,53.99,3,0,8,3.3,0,2,2.1,Adulto,Detrator,0.02,True,0.11131729242696027
41,42,48,Centro-Oeste,15,50042,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,0,6,0.0,Adulto,Detrator,0.24,True,0.2375180130541663
42,43,45,Centro-Oeste,26,50043,279.65,4,15.44,6,5,2,52.15,3,0,4,5.3,0,3,4.7,Adulto,Detrator,0.06,True,0.18648310387984982
43,44,52,Sudeste,14,50044,477.19,4,15.71,3,4,0,53.94,3,1,2,5.6,0,4,7.6,Adulto,Detrator,0.03,False,0.11303673589136402
44,45,51,Norte,42,50045,144.56,1,15.57,11,14,2,46.54,3,1,3,2.6,0,3,4.5,Adulto,Detrator,0.11,True,0.32194244604316546
45,46,30,Sul,114,50046,349.17,3,12.78,11,12,1,28.64,2,1,7,4.5,0,4,3.1,Jovem Adulto,Detrator,0.04,True,0.08202308331185382
46,47,58,Sudeste,33,50047,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,0,5,2.5,Adulto,Detrator,0.06,True,0.09806683715486975
47,48,21,Norte,26,50048,431.62,5,15.21,1,9,3,45.21,2,3,5,3.4,0,6,0.7,Jovem Adulto,Detrator,0.04,True,0.10474491450813216
48,49,60,Centro-Oeste,67,50049,663.31,6,37.22,10,6,4,45.09,1,2,9,0.7,0,6,0.0,Adulto,Detrator,0.06,True,0.06797726553195339
49,50,23,Nordeste,20,50050,370.76,6,15.12,2,10,1,28.55,3,1,8,6.6,0,2,2.3,Jovem Adulto,Neutro,0.04,True,0.07700399180062574
50,51,18,Nordeste,19,50051,375.57,5,13.63,11,8,4,56.09,1,1,4,0.6,0,5,1.9,,Detrator,0.04,True,0.14934632691642039
51,52,29,Sudeste,39,50052,711.22,6,4.92,2,2,1,28.2,1,3,2,4.5,0,6,5.8,Jovem Adulto,Detrator,0.01,True,0.03965017856640702
52,53,52,Sul,49,50053,1220.13,4,8.98,8,2,1,47.14,1,1,2,4.8,0,3,5.8,Adulto,Detrator,0.01,True,0.0386352273938023
53,54,28,Sul,69,50054,329.96,1,37.51,8,4,1,41.91,3,2,4,3.9,0,5,3.7,Jovem Adulto,Detrator,0.11,True,0.12701539580555218
54,55,40,Norte,95,50055,398.94,2,5.22,7,2,2,67.63,3,0,1,5.8,0,3,6.9,Adulto,Detrator,0.01,True,0.16952423923397
55,56,31,Nordeste,20,50056,409.54,6,0.82,4,8,3,45.69,3,1,6,4.0,0,5,1.8,Adulto,Detrator,0.0,True,0.1115641939737266
56,57,36,Centro-Oeste,109,50057,285.91,4,82.01,3,5,1,34.0,1,7,9,0.4,0,11,0.0,Adulto,Detrator,0.29,True,0.1189185407995523
57,58,54,Sul,101,50058,86.15,2,112.42,11,10,3,36.23,3,1,0,8.4,1,2,5.5,Adulto,Promotor,1.3,True,0.4205455600696459
58,59,33,Sul,108,50059,385.42,5,13.86,2,2,3,52.49,2,3,2,3.1,0,5,3.0,Adulto,Detrator,0.04,True,0.13618909241866017
59,60,61,Nordeste,21,50060,1014.41,4,16.82,11,11,5,31.57,2,1,1,4.4,0,3,3.3,Idoso,Detrator,0.02,True,0.031121538628365256
60,61,45,Centro-Oeste,116,50061,182.12,6,0.19,5,8,2,45.9,2,3,0,2.1,0,5,4.2,Adulto,Detrator,0.0,True,0.25203162749835273
61,62,62,Norte,81,50062,42.28,1,39.12,9,3,4,47.8,3,1,11,0.0,0,5,0.0,Idoso,,0.93,True,1.1305581835383158
62,63,48,Norte,9,50063,785.3,6,3.17,10,12,1,39.0,2,1,8,3.8,0,6,2.3,Adulto,Detrator,0.0,True,0.04966254934419967
63,64,24,Norte,83,50064,332.99,1,8.77,8,12,1,47.3,2,1,10,7.9,0,2,1.9,Jovem Adulto,Neutro,0.03,True,0.14204630769692783
64,65,63,Norte,64,50065,522.84,2,76.14,3,3,3,19.72,1,3,7,3.2,0,6,0.0,Idoso,Detrator,0.15,True,0.03771708362022798
65,66,69,Nordeste,53,50066,198.64,2,24.32,5,3,3,57.25,2,3,5,3.9,0,8,0.2,Idoso,Detrator,0.12,True,0.28820982682239227
66,67,44,Norte,100,50067,335.96,4,12.24,1,7,2,37.07,3,2,9,5.4,0,5,0.6,Adulto,Detrator,0.04,True,0.11034051672818193
67,68,34,Nordeste,109,50068,745.08,5,73.34,9,5,4,29.76,3,4,3,2.7,0,7,0.0,Adulto,Detrator,0.1,True,0.039942019648896765
68,69,24,Sul,45,50069,1402.67,1,43.56,9,8,4,51.51,2,5,3,0.0,0,9,0.0,Jovem Adulto,,0.03,True,0.0367228214761847
69,70,32,Nordeste,82,50070,639.53,4,66.26,3,3,2,35.79,3,3,11,0.0,0,8,0.0,Adulto,,0.1,True,0.05596297280815599
70,71,57,Sudeste,95,50071,383.08,1,1.36,5,2,1,31.84,1,0,5,7.0,0,2,6.2,Adulto,Neutro,0.0,True,0.0831157982666806
71,72,29,Sudeste,80,50072,212.03,1,66.52,6,2,6,42.64,1,1,3,0.0,0,4,0.8,Jovem Adulto,,0.31,True,0.2011036174126303
72,73,25,Sul,81,50073,816.27,1,73.96,1,8,1,58.35,1,1,4,2.4,0,4,5.0,Jovem Adulto,Detrator,0.09,True,0.07148370024624205
73,74,19,Centro-Oeste,25,50074,66.18,4,4.5,4,7,2,46.54,2,1,10,2.7,0,3,0.5,Jovem Adulto,Detrator,0.07,True,0.7032336053188274
74,75,61,Sudeste,24,50075,463.79,3,2.08,5,10,1,35.79,3,2,8,6.8,0,6,1.3,Idoso,Neutro,0.0,True,0.07716854610923046
75,76,55,Nordeste,113,50076,261.42,4,28.92,3,9,1,16.29,3,1,10,9.6,1,3,2.0,Adulto,Promotor,0.11,True,0.0623135184760156
76,77,43,Sul,80,50077,815.51,3,33.42,6,8,3,38.22,1,1,2,2.1,0,3,3.4,Adulto,Detrator,0.04,True,0.046866378094689215
77,78,68,Centro-Oeste,42,50078,223.52,4,3.91,6,8,2,37.53,1,2,8,2.6,0,5,2.3,Idoso,Detrator,0.02,True,0.16790443808160344
78,79,38,Sudeste,26,50079,323.22,6,48.95,9,13,0,22.17,2,1,6,7.6,0,1,5.5,Adulto,Neutro,0.15,False,0.06859105253387786
79,80,67,Centro-Oeste,33,50080,302.89,2,22.97,5,10,0,58.88,3,1,2,7.5,0,1,7.7,Idoso,Neutro,0.08,False,0.19439400442404836
80,81,30,Norte,38,50081,477.33,3,31.61,8,3,2,40.72,2,0,4,4.8,0,2,5.6,Jovem Adulto,Detrator,0.07,True,0.08530785829509982
81,82,36,Norte,53,50082,617.4,1,24.0,11,12,0,47.57,3,2,2,7.0,0,3,6.8,Adulto,Neutro,0.04,False,0.07704891480401685
82,83,35,Norte,24,50083,519.41,6,6.98,9,5,2,9.73,3,0,4,5.1,0,5,6.1,Adulto,Detrator,0.01,True,0.01873279297664658
83,84,19,Sudeste,67,50084,430.96,2,6.8,2,10,3,16.33,1,1,4,3.6,0,3,3.7,Jovem Adulto,Detrator,0.02,True,0.03789214776313347
84,85,69,Centro-Oeste,88,50085,90.76,6,4.81,6,6,2,47.02,2,1,11,4.8,0,3,0.8,Idoso,Detrator,0.05,True,0.5180696342000881
85,86,62,Sudeste,30,50086,98.29,4,31.32,3,9,2,39.85,3,1,7,6.0,0,3,2.1,Idoso,Detrator,0.32,True,0.4054329026350595
86,87,59,Centro-Oeste,72,50087,340.91,5,32.07,9,10,3,33.67,2,2,7,2.9,0,5,0.0,Adulto,Detrator,0.09,True,0.09876506995981343
87,88,66,Nordeste,82,50088,535.69,3,33.85,5,12,3,41.93,1,1,5,1.9,0,4,2.3,Idoso,Detrator,0.06,True,0.07827288170397056
88,89,45,Nordeste,5,50089,470.48,2,3.25,4,12,1,46.78,3,0,10,4.5,0,2,2.8,Adulto,Detrator,0.01,True,0.09943036898486651
89,90,67,Sudeste,51,50090,739.57,4,30.17,11,2,2,10.35,2,2,1,4.9,0,5,4.7,Idoso,Detrator,0.04,True,0.013994618494530604
90,91,40,Centro-Oeste,53,50091,147.47,4,92.68,2,14,1,32.52,3,2,10,5.0,0,4,1.4,Adulto,Detrator,0.63,True,0.22051942768020616
91,92,21,Nordeste,47,50092,143.82,3,42.0,9,8,3,51.74,1,2,3,4.5,0,5,3.1,Jovem Adulto,Detrator,0.29,True,0.35975524961757754
92,93,21,Centro-Oeste,74,50093,453.7,3,15.62,3,5,3,40.45,3,3,11,2.7,0,6,0.0,Jovem Adulto,Detrator,0.03,True,0.08915582984350894
93,94,29,Nordeste,70,50094,530.15,5,125.03,10,8,2,31.19,2,0,10,4.6,0,2,1.3,Jovem Adulto,Detrator,0.24,True,0.05883240592285203
94,95,39,Centro-Oeste,112,50095,531.95,1,51.91,7,13,3,51.81,2,1,8,4.1,0,3,1.5,Adulto,Detrator,0.1,True,0.0973963718394586
95,96,43,Sudeste,73,50096,352.17,6,22.73,6,10,3,25.93,1,3,8,1.1,0,5,0.0,Adulto,Detrator,0.06,True,0.07362921316409689
96,97,57,Sudeste,6,50097,473.08,3,5.55,9,11,1,51.0,3,1,4,6.4,0,4,4.9,Adulto,Neutro,0.01,True,0.1078041768834024
97,98,59,Sul,94,50098,411.69,4,67.98,4,4,4,27.55,2,2,8,1.6,0,5,0.0,Adulto,Detrator,0.17,True,0.0669192839272268
98,99,52,Nordeste,45,50099,197.76,1,7.91,7,14,2,44.67,3,1,5,6.3,0,3,3.7,Adulto,Neutro,0.04,True,0.22587985436893207
99,100,21,Norte,36,50100,267.36,3,7.79,4,3,1,32.04,2,1,0,10.0,1,4,7.3,Jovem Adulto,Promotor,0.03,True,0.11983842010771992
100,101,29,Sul,15,50101,182.19,2,18.18,3,11,1,45.48,1,1,9,1.7,0,3,1.2,Jovem Adulto,Detrator,0.1,True,0.24962950765684175
101,102,21,Norte,74,50102,125.96,5,7.14,1,12,1,38.05,2,1,9,3.1,0,4,1.7,Jovem Adulto,Detrator,0.06,True,0.30208002540489043
102,103,69,Nordeste,81,50103,70.41,6,18.87,5,4,2,49.5,2,0,10,9.4,1,2,1.8,Idoso,Promotor,0.27,True,0.7030251384746485
103,104,48,Sudeste,45,50104,289.31,5,2.66,3,14,1,41.1,3,0,9,5.1,0,4,1.7,Adulto,Detrator,0.01,True,0.1420621478690678
104,105,24,Norte,7,50105,1034.61,4,74.44,8,7,1,40.22,3,1,2,5.8,0,5,6.5,Jovem Adulto,Detrator,0.07,True,0.03887455176346643
105,106,27,Sudeste,20,50106,567.28,4,13.3,2,9,4,42.81,2,1,0,4.0,0,3,4.7,Jovem Adulto,Detrator,0.02,True,0.0754653786489917
106,107,41,Sul,85,50107,350.94,6,0.36,9,9,1,46.38,1,3,10,3.7,0,5,0.8,Adulto,Detrator,0.0,True,0.13215934347751754
107,108,32,Sul,73,50108,676.14,1,68.44,4,11,2,43.14,1,1,8,6.5,0,2,1.6,Adulto,Neutro,0.1,True,0.06380335433490106
108,109,56,Sudeste,74,50109,677.47,3,46.8,11,10,1,43.38,2,1,2,4.1,0,3,6.8,Adulto,Detrator,0.07,True,0.06403235567626611
109,110,37,Centro-Oeste,67,50110,1182.28,4,31.07,3,10,2,41.96,2,2,4,4.1,0,6,3.1,Adulto,Detrator,0.03,True,0.0354907466928308
110,111,24,Nordeste,28,50111,1328.4,1,6.51,5,7,0,38.42,2,0,6,9.0,1,2,6.3,Jovem Adulto,Promotor,0.0,False,0.028922011442336644
111,112,30,Centro-Oeste,45,50112,292.7,3,13.71,3,5,4,34.3,1,2,10,0.3,0,4,0.0,Jovem Adulto,Detrator,0.05,True,0.11718483088486505
112,113,45,Sul,74,50113,239.69,6,59.64,9,12,3,33.4,3,1,2,2.7,0,3,4.5,Adulto,Detrator,0.25,True,0.13934665609745922
113,114,56,Nordeste,36,50114,645.84,1,73.53,6,3,4,45.49,2,4,10,0.3,0,7,0.0,Adulto,Detrator,0.11,True,0.07043540195714108
114,115,35,Centro-Oeste,71,50115,96.54,3,28.25,2,2,2,56.28,1,2,3,2.4,0,5,4.5,Adulto,Detrator,0.29,True,0.5829707893101305
115,116,64,Norte,28,50116,359.49,2,11.01,11,9,0,26.18,2,2,9,3.5,0,3,2.6,Idoso,Detrator,0.03,False,0.0728253915268853
116,117,28,Centro-Oeste,38,50117,60.96,2,95.06,4,9,0,30.19,2,0,7,7.8,0,1,5.2,Jovem Adulto,Neutro,1.56,False,0.495242782152231
117,118,53,Sudeste,5,50118,242.57,5,21.93,8,3,0,22.11,2,3,9,1.1,0,5,0.9,Adulto,Detrator,0.09,False,0.09114894669579915
118,119,53,Norte,103,50119,139.18,1,21.63,5,6,4,19.4,2,2,3,0.8,0,5,3.6,Adulto,Detrator,0.16,True,0.1393878430809024
119,120,19,Sudeste,85,50120,428.1,4,77.12,5,6,3,47.3,3,2,9,3.1,0,6,0.0,Jovem Adulto,Detrator,0.18,True,0.11048820369072646
120,121,65,Norte,60,50121,212.08,1,18.06,1,14,2,30.82,3,1,7,2.2,0,3,2.9,Idoso,Detrator,0.09,True,0.1453225198038476
121,122,63,Sul,111,50122,686.74,5,0.49,3,3,1,42.24,3,0,3,8.8,1,2,6.2,Idoso,Promotor,0.0,True,0.061507994291871745
122,123,34,Nordeste,69,50123,195.24,5,28.31,1,5,4,30.12,3,0,2,1.8,0,3,3.9,Adulto,Detrator,0.15,True,0.15427166564228642
123,124,23,Norte,102,50124,693.16,3,26.12,5,10,1,45.57,3,1,0,9.2,1,3,8.3,Jovem Adulto,Promotor,0.04,True,0.06574239713774598
124,125,58,Sul,53,50125,549.41,2,35.84,11,10,2,33.16,2,0,8,7.7,0,1,2.0,Adulto,Neutro,0.07,True,0.060355654247283445
125,126,63,Sul,107,50126,126.41,4,0.23,2,11,2,15.17,3,3,1,2.2,0,5,3.0,Idoso,Detrator,0.0,True,0.12000632861324263
126,127,40,Nordeste,34,50127,326.11,4,3.28,4,4,2,58.28,2,1,2,6.7,0,2,5.2,Adulto,Neutro,0.01,True,0.1787127043022293
127,128,64,Nordeste,83,50128,648.2,3,23.63,6,2,2,32.87,1,3,2,6.0,0,4,4.2,Idoso,Detrator,0.04,True,0.05070965751311323
128,129,33,Norte,57,50129,759.72,4,0.69,8,10,2,32.56,3,3,3,4.5,0,5,4.0,Adulto,Detrator,0.0,True,0.04285789501395251
129,130,58,Sul,108,50130,416.01,3,14.85,6,14,1,30.09,1,0,7,7.2,0,1,3.4,Adulto,Neutro,0.04,True,0.07232999206749838
130,131,43,Sul,27,50131,234.65,6,33.37,2,14,4,35.25,2,1,11,2.8,0,3,0.0,Adulto,Detrator,0.14,True,0.1502237374813552
131,132,63,Nordeste,29,50132,640.32,1,3.91,5,9,3,46.03,1,0,0,3.7,0,5,5.5,Idoso,Detrator,0.01,True,0.07188593203398301
132,133,67,Sudeste,57,50133,241.88,5,15.57,11,2,1,37.43,3,2,9,1.6,0,5,1.2,Idoso,Detrator,0.06,True,0.15474615511824044
133,134,18,Nordeste,90,50134,706.8,5,21.35,8,4,2,29.36,2,0,4,5.6,0,2,5.1,,Detrator,0.03,True,0.04153933220147142
134,135,53,Sudeste,34,50135,233.13,1,2.43,6,11,5,30.7,3,1,8,2.1,0,7,0.1,Adulto,Detrator,0.01,True,0.1316861836743448
135,136,47,Sudeste,26,50136,637.17,1,55.2,11,12,2,55.77,2,3,11,5.6,0,7,0.0,Adulto,Detrator,0.09,True,0.08752766137765433
136,137,19,Centro-Oeste,5,50137,640.01,5,69.97,3,7,3,25.18,1,1,7,4.4,0,5,0.4,Jovem Adulto,Detrator,0.11,True,0.039343135263511506
137,138,37,Sudeste,62,50138,40.76,2,23.68,2,5,1,17.34,2,1,2,5.8,0,3,6.3,Adulto,Detrator,0.58,True,0.4254170755642787
138,139,22,Nordeste,92,50139,155.32,4,4.24,11,13,2,49.59,2,1,8,4.3,0,4,1.7,Jovem Adulto,Detrator,0.03,True,0.3192763327324234
139,140,48,Norte,56,50140,150.15,5,36.37,7,6,4,44.72,2,3,9,2.6,0,6,0.0,Adulto,Detrator,0.24,True,0.29783549783549784
140,141,25,Sul,56,50141,242.39,6,11.38,10,11,1,30.44,2,0,0,7.3,0,3,8.3,Jovem Adulto,Neutro,0.05,True,0.12558273856182187
141,142,47,Nordeste,70,50142,614.67,6,18.27,6,9,0,23.61,2,1,6,5.9,0,5,3.7,Adulto,Detrator,0.03,False,0.03841085460490996
142,143,56,Norte,103,50143,467.14,4,23.81,5,12,2,38.45,3,1,9,5.9,0,5,0.7,Adulto,Detrator,0.05,True,0.08230937192276407
143,144,19,Sudeste,16,50144,1054.32,6,6.6,9,2,2,32.39,3,5,2,4.1,0,7,2.5,Jovem Adulto,Detrator,0.01,True,0.03072122315805448
144,145,30,Centro-Oeste,74,50145,718.63,4,19.52,5,4,4,40.7,1,5,1,0.4,0,7,0.3,Jovem Adulto,Detrator,0.03,True,0.05663554262972601
145,146,21,Nordeste,75,50146,72.52,5,34.44,4,9,2,55.51,2,2,6,4.5,0,4,3.1,Jovem Adulto,Detrator,0.47,True,0.7654440154440154
146,147,62,Sul,30,50147,379.53,4,33.46,5,11,4,22.43,3,4,3,3.1,0,8,0.0,Idoso,Detrator,0.09,True,0.059099412431164865
147,148,69,Sudeste,92,50148,288.89,6,39.13,9,10,0,48.12,3,3,9,7.5,0,5,2.4,Idoso,Neutro,0.14,False,0.16656859012080721
148,149,25,Centro-Oeste,82,50149,872.53,6,74.23,2,14,2,25.57,2,2,3,1.0,0,4,3.7,Jovem Adulto,Detrator,0.09,True,0.029305582616070507
149,150,56,Centro-Oeste,83,50150,515.78,1,70.23,6,2,1,69.43,1,2,1,10.0,1,4,6.2,Adulto,Promotor,0.14,True,0.1346116561324596
150,151,42,Sudeste,18,50151,324.46,6,4.05,8,7,1,45.88,2,2,3,5.2,0,4,4.8,Adulto,Detrator,0.01,True,0.14140417925167972
151,152,24,Nordeste,99,50152,351.61,4,86.68,10,6,3,40.07,1,2,5,5.3,0,5,2.0,Jovem Adulto,Detrator,0.25,True,0.11396149142515856
152,153,31,Sudeste,119,50153,1064.25,2,15.38,1,2,3,26.74,2,0,9,5.5,0,3,1.6,Adulto,Detrator,0.01,True,0.025125675358233495
153,154,46,Sudeste,22,50154,337.65,1,21.17,3,5,3,21.26,3,1,1,6.8,0,3,5.4,Adulto,Neutro,0.06,True,0.06296460832222717
154,155,62,Nordeste,54,50155,672.01,6,21.47,1,4,1,27.38,2,0,1,9.8,1,2,8.0,Idoso,Promotor,0.03,True,0.04074344131783753
155,156,38,Norte,48,50156,475.43,2,45.52,2,6,2,32.2,2,0,4,5.8,0,2,5.4,Adulto,Detrator,0.1,True,0.06772816187451361
156,157,54,Sudeste,34,50157,348.1,1,26.64,5,4,4,31.63,2,2,10,1.6,0,6,0.0,Adulto,Detrator,0.08,True,0.0908646940534329
157,158,66,Nordeste,21,50158,796.83,4,9.4,5,4,3,43.38,3,2,6,1.8,0,7,1.4,Idoso,Detrator,0.01,True,0.05444072135838259
158,159,50,Sudeste,103,50159,223.1,6,12.28,10,14,1,54.77,2,4,10,1.6,0,7,0.0,Adulto,Detrator,0.06,True,0.24549529359031827
159,160,58,Sudeste,47,50160,221.05,2,17.25,3,5,2,48.59,2,1,5,6.9,0,4,3.6,Adulto,Neutro,0.08,True,0.21981452160144763
160,161,42,Sul,43,50161,234.72,6,29.23,6,8,4,60.15,3,1,3,1.8,0,5,3.2,Adulto,Detrator,0.12,True,0.2562627811860941
161,162,63,Sul,39,50162,421.33,4,51.01,6,12,1,46.14,3,2,11,4.9,0,4,0.2,Idoso,Detrator,0.12,True,0.10951036005031686
162,163,31,Sudeste,40,50163,393.2,5,6.54,3,14,2,33.2,3,0,9,3.7,0,2,1.9,Adulto,Detrator,0.02,True,0.0844354018311292
163,164,26,Sul,107,50164,644.58,4,3.56,3,10,1,33.05,1,2,1,8.1,1,7,6.5,Jovem Adulto,Promotor,0.01,True,0.05127369760153898
164,165,32,Sudeste,102,50165,153.6,2,11.98,3,10,1,37.16,3,1,9,5.6,0,8,2.4,Adulto,Detrator,0.08,True,0.24192708333333332
165,166,24,Nordeste,94,50166,503.92,4,42.32,9,14,2,42.51,2,0,4,7.0,0,1,4.9,Jovem Adulto,Neutro,0.08,True,0.08435862835370693
166,167,19,Sudeste,57,50167,602.2,2,6.77,10,13,2,51.97,3,2,11,2.6,0,4,0.0,Jovem Adulto,Detrator,0.01,True,0.08630023248090335
167,168,48,Sudeste,11,50168,269.88,4,38.62,6,5,3,41.05,1,1,1,4.3,0,4,4.9,Adulto,Detrator,0.14,True,0.15210463909885874
168,169,24,Nordeste,76,50169,597.96,6,59.9,3,13,2,16.93,1,4,11,3.6,0,10,0.0,Jovem Adulto,Detrator,0.1,True,0.028312930630811424
